023h,02Dh,000h,026h,026h,026h
03Fh,03Fh,03Fh,000h,000h,000h
019h,008h,000h,02Eh,011h,000h
03Fh,019h,000h,01Eh,02Dh,000h
000h,008h,000h,02Dh,02Dh,000h
03Fh,000h,000h,000h,000h,03Fh
019h,000h,008h,026h,026h,03Fh
000h,037h,000h,03Fh,03Fh,000h

02Eh,021h,000h,032h,025h,000h
036h,02Ah,000h,03Ah,02Fh,000h
03Fh,035h,000h,019h,008h,000h
022h,00Dh,000h,02Ch,013h,000h
035h,01Ah,000h,03Fh,023h,000h
03Ah,01Bh,000h,023h,02Dh,000h
02Dh,02Bh,000h,01Eh,02Dh,000h
025h,02Eh,000h,02Dh,02Dh,000h

000h,000h,000h,010h,010h,010h
013h,013h,013h,016h,016h,016h
019h,019h,019h,01Ch,01Ch,01Ch
01Fh,01Fh,01Fh,022h,022h,022h
025h,025h,025h,028h,028h,028h
02Bh,02Bh,02Bh,02Eh,02Eh,02Eh
031h,031h,031h,034h,034h,034h
037h,037h,037h,03Ah,03Ah,03Ah

019h,000h,008h,02Ch,019h,021h
026h,026h,026h,033h,000h,000h
039h,015h,015h,03Fh,030h,030h
000h,00Dh,000h,009h,01Bh,00Ah
003h,003h,02Eh,005h,005h,02Fh
008h,008h,031h,00Bh,00Bh,033h
00Eh,00Eh,034h,011h,011h,036h
014h,014h,038h,017h,017h,03Ah

01Bh,01Bh,03Bh,01Fh,01Fh,03Dh
023h,023h,03Fh,02Ah,02Ah,03Fh
031h,031h,03Fh,02Eh,000h,000h
02Fh,001h,001h,031h,005h,005h
033h,008h,008h,034h,00Bh,00Bh
036h,00Fh,00Fh,038h,013h,013h
03Ah,017h,017h,03Bh,01Bh,01Bh
03Dh,01Fh,01Fh,03Fh,024h,024h

03Eh,02Dh,02Dh,03Fh,032h,032h
032h,01Eh,004h,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh

000h,000h,02Ch,000h,000h,03Fh
012h,011h,03Ah,01Ah,01Ah,01Ah
026h,026h,026h,02Bh,02Bh,02Bh
000h,000h,000h,00Dh,00Dh,00Dh
012h,012h,012h,012h,005h,000h
019h,008h,000h,01Fh,00Ah,000h
024h,00Bh,000h,02Eh,011h,000h
033h,012h,000h,035h,014h,000h

03Fh,019h,000h,03Fh,01Dh,000h
000h,000h,000h,000h,00Dh,000h
000h,012h,000h,034h,000h,000h
03Fh,000h,000h,03Fh,012h,012h
00Dh,000h,004h,019h,000h,008h
022h,000h,00Bh,020h,020h,036h
026h,026h,03Fh,02Bh,02Ah,03Fh
000h,02Fh,000h,000h,037h,000h

000h,03Bh,000h,035h,037h,000h
03Fh,03Fh,000h,03Eh,03Fh,024h
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh

03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh

03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh
03Fh,000h,03Fh,03Fh,000h,03Fh


